index,plant,county,distance,cost,fpfactor,adjusted_cost
143.0_57,9188,48113,262.7833049453491,47.35045015771947,1.002947638,47.38534315426997
143.0_115,9188,48227,700.5003283562726,115.9845616377385,0.923125718,113.75550416299203
143.0_173,9188,48345,627.2242382645389,104.49485694911236,1.145222819,108.28861637340032
143.0_203,9188,48405,221.03895971224367,40.80492898501506,0.97375351,40.53718244487608
143.0_159,9188,48323,787.8277008142412,129.67751004041145,0.992969898,129.4495985097389
143.0_73,9188,48143,409.5227433541263,70.35922165986997,1.017359929,70.66457943299763
143.0_63,9188,48125,624.6378312575384,104.0893078446524,1.063922715,105.75272563462764
143.0_28,9188,48055,518.4309749,87.43605281389584,0.981144428,87.02388861658878
143.0_58,9188,48115,739.7509553695038,122.1390673252126,0.954906668,120.76215294694606
143.0_32,9188,48063,97.01884285170576,21.35855136862481,0.938277101,21.028973441396825
143.0_67,9188,48131,762.7266478778876,125.74166022567344,0.988904893,125.39288093203307
143.0_117,9188,48231,190.8637527617039,36.07345087,0.980405337,35.89673909173882
143.0_167,9188,48333,475.0818900877176,80.63890818,0.988904893,80.41523385134494
143.0_233,9188,48465,775.8385110960404,127.79760284086532,0.99186126,127.53757497532905
143.0_186,9188,48371,866.9503391534133,142.0839545922969,1.053944975,144.00013343689255
143.0_12,9188,48023,479.4077541315678,81.31720447512448,1.071313634,82.76696081458503
143.0_93,9188,48183,122.78617356550956,25.39887366400299,0.957493489,25.12896928830635
143.0_40,9188,48079,814.8595892210452,133.91611521955312,1.015881745,134.44782061788
143.0_122,9188,48241,292.9349559818566,52.078234703132345,1.002947638,52.116611649028314
143.0_98,9188,48193,423.5365531119504,72.55658966,1.025859485,73.02565867049098
143.0_35,9188,48069,768.3226726324074,126.6191179581914,0.989274439,126.2796026898347
143.0_216,9188,48431,678.2276117126232,112.4921954848964,1.056531797,114.08204197470552
143.0_214,9188,48427,880.5557405,144.21728407825998,0.978188061,143.43086942749483
143.0_52,9188,48103,824.1428322173975,135.37172946489994,0.995556719,135.2213558065328
143.0_172,9188,48343,69.41270795,17.02990423160962,0.974862148,16.922880428572526
143.0_23,9188,48045,672.5847122,111.6073877864731,1.019577205,112.15362796402567
143.0_226,9188,48451,640.9114832334102,106.6410195308814,1.025859485,107.33043999211728
143.0_164,9188,48327,609.6879849287781,101.74516913251914,1.049140878,102.99513086837675
143.0_184,9188,48367,355.93190981138207,61.95616889528321,1.007382189,62.07051193240844
143.0_236,9188,48471,326.30260819151505,57.310288836503865,0.969318959,56.87070400612521
143.0_24,9188,48047,809.9630731823564,133.14834058505468,0.934581642,130.97075413217993
143.0_142,9188,48283,737.7944991495982,121.8322946224824,1.007012643,122.04588621949696
143.0_70,9188,48137,701.8096845517264,116.18986893510048,1.145222819,120.40822401159943
143.0_144,9188,48287,437.9276840281993,74.81312169239725,1.010338556,75.00648660443515
143.0_198,9188,48395,349.00319594512604,60.86974525974795,0.959341219,60.25102284923748
143.0_252,9188,48503,431.5924402981089,73.81975428567449,1.026229031,74.30380944156732
143.0_13,9188,48025,653.4460404459655,108.6064404559697,0.969318959,107.77340079284627
143.0_39,9188,48077,387.5549834463941,66.91467278049468,0.999991271,66.91452675595
143.0_204,9188,48407,328.2179685098331,57.610617694146754,1.005534459,57.69032859454499
143.0_232,9188,48463,702.3889302245117,116.2806947653834,1.018468567,116.81757921590366
143.0_105,9188,48207,528.5495030849129,89.02263994049511,1.028076761,89.64750678679471
143.0_213,9188,48425,370.9242771618831,64.30697491161145,0.977448969,63.94442776542445
143.0_15,9188,48029,608.3350357,101.53302643675296,1.001839,101.57970624565726
143.0_92,9188,48181,244.58389151263688,44.49677871337384,0.974492602,44.213029452283855
143.0_9,9188,48017,815.9573538396886,134.08824491793146,1.004056276,134.22421965036716
143.0_128,9188,48253,547.8977003781486,92.05644091,0.980774883,91.61399194822542
143.0_124,9188,48245,388.35406345439264,67.03996867582691,0.96192804,66.40188292437008
143.0_201,9188,48401,156.14151487827883,30.62899744643013,1.00368673,30.65722765736905
143.0_88,9188,48173,719.7657493331715,119.00538326522329,1.120463242,122.58932683611863
143.0_87,9188,48171,573.8630620495711,96.1278145,1.043967236,97.18443307657142
143.0_77,9188,48151,596.3190500328565,99.64891762997156,1.071313634,101.42549924006155
143.0_108,9188,48213,212.42472977587852,39.454216113123934,0.987426709,39.330198778032134
143.0_209,9188,48417,499.4659695021931,84.46233641244308,1.028815853,85.07079997996746
143.0_182,9188,48363,403.1577460854934,69.36118889271563,0.986687617,69.13034821474683
143.0_244,9188,48487,486.1220614,82.37000912232051,0.943450744,81.20551843917539
143.0_78,9188,48153,675.3536090635171,112.04155132973992,0.999252179,112.02060457350066
143.0_181,9188,48361,361.5232311075016,62.83288912464062,0.949733025,62.0432843079391
143.0_200,9188,48399,581.2602690175014,97.28769793852084,1.024750847,97.88968617018546
143.0_42,9188,48083,536.8792373,90.32874383281572,1.024381302,90.87932692848285
143.0_156,9188,48317,748.0848202431113,123.44581890260696,1.100507762,126.54763464914654
143.0_242,9188,48483,613.0111712740439,102.26624537559624,0.957863035,101.18894807507802
143.0_55,9188,48109,1006.3206924652592,163.9372521672346,1.231327019,173.418031128959
143.0_168,9188,48335,653.1273005110604,108.5564619743129,1.024750847,109.22817806960977
143.0_116,9188,48229,1085.9723461101746,176.4266464184168,1.086095471,180.2240302235028
143.0_230,9188,48459,109.2743897682898,23.280223426902907,0.968210321,23.095205719455528
143.0_146,9188,48291,365.5717114417776,63.46769160141456,0.964145316,62.89878809477001
143.0_246,9188,48491,451.5675049345823,76.95184817226124,0.998882633,76.93035230832706
143.0_174,9188,48347,203.02737787270289,37.98070957,0.985948525,37.84728832224872
143.0_151,9188,48301,909.1336904489274,148.6983119980383,1.071313634,151.34936624759976
143.0_126,9188,48249,736.2452873006255,121.58937791360052,0.948254841,120.01646249038794
143.0_231,9188,48461,783.4774515007038,128.9953901,1.131919165,133.2496311377103
143.0_176,9188,48351,289.77044210636177,51.58203833311619,1.014034016,51.76301412093608
143.0_139,9188,48277,143.7163603844336,28.68073088818289,0.971166688,28.473990772661136
143.0_187,9188,48373,296.5438065215746,52.64410314555114,0.988535347,52.49321655178616
